Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
790,cds1374,CDS,NA,1266309,1266545,+,NA
790,cds1375,CDS,COG1321,1266551,1267189,+,[K] Mn-dependent transcriptional regulator   
790,cds1376,CDS,ROG2949,1267182,1267520,+,NA
790,cds1377,CDS,COG2379,1267523,1268725,+,[G] Putative glycerate kinase   
791,cds1378,CDS,COG0377,1268704,1269216,-,[C] NADH:ubiquinone oxidoreductase 20 kD subunit and
792,cds1379,CDS,COG0009,1269346,1270422,+,[J] Putative translation factor (SUA5)  
792,cds1380,CDS,COG0340,1270400,1271086,+,[H] Biotin-(acetyl-CoA carboxylase) ligase   
793,cds1381,CDS,COG1662,1271154,1271924,+,"[L] Transposase and inactivated derivatives, IS1 family"
794,cds1382,CDS,COG0312,1271933,1273186,-,[R] Predicted Zn-dependent proteases and their inactivated
794,cds1383,CDS,COG0312,1273176,1274513,-,[R] Predicted Zn-dependent proteases and their inactivated
795,cds1384,CDS,COG0864,1274547,1274948,+,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
795,cds1385,CDS,COG3382,1274935,1275609,+,[S] Uncharacterized conserved protein   
795,cds1386,CDS,COG0460,1275606,1276550,+,[E] Homoserine dehydrogenase    
795,cds1387,CDS,COG0109,1276586,1277443,+,[O] Polyprenyltransferase (cytochrome oxidase assembly factor) 
796,cds1388,CDS,ROG6458,1277435,1277986,-,NA
797,cds1389,CDS,COG1024,1278059,1278817,+,[I] Enoyl-CoA hydratase/carnithine racemase   
798,amrS,CDS,COG1180,1278810,1279865,-,[O] Pyruvate-formate lyase-activating enzyme   
799,cds1391,CDS,COG1547,1279927,1280379,+,[S] Uncharacterized conserved protein   
800,cds1392,CDS,COG1839,1280308,1280796,-,[S] Uncharacterized conserved protein   
801,cds1393,CDS,ROG6468,1280884,1281285,-,NA
802,cds1394,CDS,COG1814,1281335,1281886,+,[S] Uncharacterized membrane protein   
803,cds1395,CDS,COG3435,1281989,1282525,+,"[Q] Gentisate 1,2-dioxygenase    "
804,cds1396,CDS,COG3677,1282552,1283277,-,[L] Transposase and inactivated derivatives  
805,cds1397,CDS,COG1250,1283364,1284332,-,[I] 3-hydroxyacyl-CoA dehydrogenase    
806,cds1398,CDS,COG2178,1284362,1284994,+,[J] Predicted RNA-binding protein of the translin
807,lysX,CDS,COG0189,1284975,1285823,-,[HJ] Glutathione synthase/Ribosomal protein S6 modification enzyme
807,cds1400,CDS,COG0458,1285824,1288979,-,[EF] Carbamoylphosphate synthase large subunit (split gene
807,cds1401,CDS,COG0505,1288976,1290079,-,[EF] Carbamoylphosphate synthase small subunit  
807,argH,CDS,COG0165,1290063,1291442,-,[E] Argininosuccinate lyase    
807,cds1403,CDS,COG0137,1291397,1292617,-,[E] Argininosuccinate synthase    
807,cds1404,CDS,ROG7554,1292661,1292798,-,NA
808,cds1405,CDS,ROG5858,1292892,1293347,-,NA
808,cds1406,CDS,COG0150,1293405,1294373,-,[F] Phosphoribosylaminoimidazole (AIR) synthetase   
808,cds1407,CDS,COG0151,1294370,1295809,-,[F] Phosphoribosylamine-glycine ligase    
808,cds1408,CDS,COG0034,1295815,1297020,-,[F] Glutamine phosphoribosylpyrophosphate amidotransferase   
808,purF,CDS,COG0034,1297026,1298381,-,[F] Glutamine phosphoribosylpyrophosphate amidotransferase   
808,cds1410,CDS,COG0046,1298374,1300503,-,"[F] Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain "
808,purQ,CDS,COG0047,1300494,1301168,-,"[F] Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"
808,purS,CDS,COG1828,1301165,1301419,-,"[F] Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component "
808,cds1413,CDS,COG0152,1301431,1302132,-,[F] Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase   
809,metG,CDS,COG0073,1302230,1302586,+,[R] EMAP domain    
809,cds1415,CDS,COG1084,1302580,1303578,+,[R] Predicted GTPase    
809,cds1416,CDS,COG0602,1303559,1304185,+,[O] Organic radical activating enzymes  
810,cds1417,CDS,COG1590,1304123,1304752,-,[S] Uncharacterized conserved protein   
811,cds1418,CDS,ROG7150,1304788,1305180,+,NA
812,cds1419,CDS,COG3357,1305256,1305576,+,[K] Predicted transcriptional regulator containing an HTH
812,cds1420,CDS,COG5491,1305616,1306122,+,[N] Conserved protein implicated in secretion 
812,cds1421,CDS,COG0704,1306140,1307150,+,[P] Phosphate uptake regulator   
813,cds1422,CDS,ROG2565,1307134,1307562,-,NA
814,cds1423,CDS,COG0284,1307768,1308436,-,[F] Orotidine-5'-phosphate decarboxylase    
814,cds1424,CDS,COG0461,1308423,1309010,-,[F] Orotate phosphoribosyltransferase    
815,pyrB,CDS,COG0540,1309074,1309985,+,"[F] Aspartate carbamoyltransferase, catalytic chain  "
815,cds1426,CDS,COG1781,1309978,1310457,+,"[F] Aspartate carbamoyltransferase, regulatory subunit  "
815,cds1427,CDS,COG0543,1310454,1311056,+,[HC] 2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases
815,pyrC,CDS,COG0044,1311040,1312209,+,[F] Dihydroorotase and related cyclic amidohydrolases 
815,cds1429,CDS,COG0167,1312206,1313078,+,[F] Dihydroorotate dehydrogenase    
815,cds1430,CDS,ROG4254,1313080,1313388,+,NA
815,cds1431,CDS,ROG6428,1313375,1313686,+,NA
815,cds1432,CDS,COG2095,1313683,1314291,+,[U] Multiple antibiotic transporter   
815,cds1433,CDS,COG1522,1314346,1314819,+,[K] Transcriptional regulators    
815,cds1434,CDS,COG1594,1314819,1315169,+,"[K] DNA-directed RNA polymerase, subunit M/Transcription elongation"
815,cds1435,CDS,NA,1315218,1315457,+,NA
816,cds1436,CDS,COG1032,1315553,1317019,+,[C] Fe-S oxidoreductase    
817,cds1437,CDS,COG0172,1317020,1318393,-,[J] Seryl-tRNA synthetase    
817,cds1438,CDS,COG2151,1318419,1318817,-,[R] Predicted metal-sulfur cluster biosynthetic enzyme 
817,cds1439,CDS,COG0139,1318844,1319206,-,[E] Phosphoribosyl-AMP cyclohydrolase    
817,hisH,CDS,COG0118,1319209,1319808,-,[E] Glutamine amidotransferase    
817,hisE,CDS,COG0140,1319805,1320089,-,[E] Phosphoribosyl-ATP pyrophosphohydrolase    
817,hisD,CDS,COG0141,1320082,1321278,-,[E] Histidinol dehydrogenase    
817,cds1443,CDS,COG0107,1321275,1322030,-,[E] Imidazoleglycerol-phosphate synthase    
817,hisB,CDS,COG0131,1322027,1322608,-,[E] Imidazoleglycerol-phosphate dehydratase    
817,cds1445,CDS,COG0106,1322601,1323299,-,[E] Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase 
817,cds1446,CDS,COG0040,1323300,1324160,-,[E] ATP phosphoribosyltransferase    
817,hisC,CDS,COG0079,1324138,1325268,-,[E] Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
818,cds1448,CDS,ROG7809,1325270,1325869,+,NA
819,leuS,CDS,COG0495,1325853,1328687,-,[J] Leucyl-tRNA synthetase    
820,cds1450,CDS,COG2096,1328770,1329294,+,[S] Uncharacterized conserved protein   
821,cds1451,CDS,COG0037,1329270,1330241,-,[D] Predicted ATPase of the PP-loop superfamily
821,cds1452,CDS,COG1888,1330231,1330518,-,[S] Uncharacterized protein conserved in archaea 
822,speD,CDS,COG1586,1330633,1331004,+,[E] S-adenosylmethionine decarboxylase    
822,cds1454,CDS,NA,1331034,1331921,+,NA
823,cds1455,CDS,NA,1331892,1332122,-,NA
824,cds1456,CDS,COG0109,1332152,1332976,+,[O] Polyprenyltransferase (cytochrome oxidase assembly factor) 
825,cds1457,CDS,ROG5060,1332973,1333950,-,NA
826,cds1458,CDS,COG1161,1333985,1334773,+,[R] Predicted GTPases    
826,cds1459,CDS,COG4996,1334766,1335266,+,[R] Predicted phosphatase    
827,ilvB,CDS,COG0028,1335474,1337192,+,"[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate"
827,cds1461,CDS,ROG5430,1337170,1337562,+,NA
827,cds1462,CDS,COG0059,1337534,1338541,+,[EH] Ketol-acid reductoisomerase    
827,cds1463,CDS,COG1591,1338574,1339005,+,[L] Holliday junction resolvase - archaeal type
828,cds1464,CDS,COG1855,1339002,1340534,-,[R] ATPase (PilT family)   
828,cds1465,CDS,COG0311,1340571,1341173,-,[H] Predicted glutamine amidotransferase involved in pyridoxine
828,cds1466,CDS,COG0214,1341170,1342186,-,[H] Pyridoxine biosynthesis enzyme   
828,cds1467,CDS,COG4830,1342221,1342508,-,[J] Ribosomal protein S26   
828,cds1468,CDS,COG0442,1342543,1343988,-,[J] Prolyl-tRNA synthetase    
828,cds1469,CDS,COG0636,1344033,1344341,-,"[C] F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase,"
828,cds1470,CDS,NA,1344362,1344520,-,NA
828,cds1471,CDS,COG1394,1344507,1345148,-,[C] Archaeal/vacuolar-type H+-ATPase subunit D  
828,cds1472,CDS,COG1156,1345145,1346536,-,[C] Archaeal/vacuolar-type H+-ATPase subunit B  
828,cds1473,CDS,COG1155,1346536,1348314,-,[C] Archaeal/vacuolar-type H+-ATPase subunit A  
828,cds1474,CDS,COG1390,1348317,1348901,-,[C] Archaeal/vacuolar-type H+-ATPase subunit E  
828,cds1475,CDS,COG1436,1348907,1349209,-,[C] Archaeal/vacuolar-type H+-ATPase subunit F  
829,cds1476,CDS,COG1269,1349284,1351389,+,[C] Archaeal/vacuolar-type H+-ATPase subunit I  
830,cds1477,CDS,COG0143,1351378,1353099,-,[J] Methionyl-tRNA synthetase    
831,cds1478,CDS,COG2219,1353161,1354084,+,"[L] Eukaryotic-type DNA primase, large subunit "
832,cds1479,CDS,COG1183,1354063,1354650,-,[I] Phosphatidylserine synthase    
833,cds1480,CDS,ROG2036,1354685,1354996,+,NA
833,cds1481,CDS,COG0500,1355024,1355509,+,[QR] SAM-dependent methyltransferases    
833,cds1482,CDS,COG5399,1355506,1355940,+,[S] Uncharacterized protein conserved in archaea 
834,cds1483,CDS,COG0417,1356020,1358671,-,[L] DNA polymerase elongation subunit (family B)
835,rna20,tRNA,NA,1359120,1359194,+,NA
836,cds1484,CDS,COG2042,1359201,1359701,-,[S] Uncharacterized conserved protein   
837,cds1485,CDS,COG0668,1359861,1360805,-,[M] Small-conductance mechanosensitive channel   
838,cds1486,CDS,ROG8349,1360934,1361719,+,NA
838,pgk,CDS,COG0126,1361749,1362996,+,[G] 3-phosphoglycerate kinase    
838,cds1488,CDS,ROG0474,1362989,1364011,+,NA
838,cds1489,CDS,COG0589,1364008,1364418,+,[T] Universal stress protein UspA and related
839,cds1490,CDS,COG0112,1364411,1365712,-,[E] Glycine/serine hydroxymethyltransferase    
839,hmgA,CDS,COG1257,1365755,1366987,-,[I] Hydroxymethylglutaryl-CoA reductase    
839,cds1492,CDS,COG1545,1366984,1367382,-,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
839,cds1493,CDS,COG0332,1367388,1368467,-,[I] 3-oxoacyl-[acyl-carrier-protein] synthase III   
839,cds1494,CDS,COG3425,1368467,1369519,-,[I] 3-hydroxy-3-methylglutaryl CoA synthase   
840,speD_2,CDS,COG1586,1369626,1370030,-,[E] S-adenosylmethionine decarboxylase    
841,cds1496,CDS,NA,1370142,1370960,+,NA
841,rna21,tRNA,NA,1371004,1371095,+,NA
841,cds1497,CDS,ROG3134,1371154,1371768,+,NA
842,cds1498,CDS,COG3415,1371785,1372766,-,[L] Transposase and inactivated derivatives  
842,cds1499,CDS,ROG2694,1372809,1373345,-,NA
843,cds1500,CDS,ROG4450,1373717,1375006,-,NA
844,cds1501,CDS,NA,1375911,1377083,-,NA
845,cds1502,CDS,COG1397,1377892,1379088,-,[O] ADP-ribosylglycohydrolase     
846,cds1503,CDS,COG3415,1379694,1380658,+,[L] Transposase and inactivated derivatives  
846,cds1504,CDS,ROG4803,1380719,1381096,+,NA
847,cds1505,CDS,COG2002,1381507,1381746,+,[K] Regulators of stationary/sporulation gene expression 
847,cds1506,CDS,COG1848,1381736,1382164,+,"[R] Predicted nucleic acid-binding protein, contains PIN"
848,cds1507,CDS,COG0813,1382704,1383519,-,[F] Purine-nucleoside phosphorylase    
849,cds1508,CDS,NA,1383870,1384436,-,NA
850,cds1509,CDS,NA,1384519,1384896,-,NA
851,cds1510,CDS,NA,1385244,1385675,-,NA
852,rna22,tRNA,NA,1386444,1386533,+,NA
853,cds1511,CDS,ROG8158,1386486,1386689,-,NA
854,cds1512,CDS,COG3465,1387623,1388084,+,[S] Uncharacterized conserved protein   
854,cds1513,CDS,NA,1388081,1389064,+,NA
855,cds1514,CDS,COG3886,1389447,1390457,+,[L] Predicted HKD family nuclease  
856,cds1515,CDS,NA,1390686,1391054,+,NA
856,cds1516,CDS,NA,1391102,1391545,+,NA
857,cds1517,CDS,ROG0447,1391947,1392174,-,NA
858,cds1518,CDS,ROG7593,1393150,1393482,-,NA
858,cds1519,CDS,ROG4306,1393514,1394500,-,NA
859,cds1520,CDS,COG2002,1394670,1394825,+,[K] Regulators of stationary/sporulation gene expression 
860,cds1521,CDS,COG1957,1394822,1395757,-,[F] Inosine-uridine nucleoside N-ribohydrolase   
860,leuS_2,CDS,COG0525,1395760,1398564,-,[J] Valyl-tRNA synthetase    
860,cds1523,CDS,ROG4037,1398603,1399526,-,NA
861,cds1524,CDS,ROG7250,1399651,1399887,-,NA
861,cds1525,CDS,ROG4300,1399937,1400401,-,NA
862,cds1526,CDS,ROG0471,1400461,1401150,+,NA
863,cds1527,CDS,NA,1401187,1401852,-,NA
863,cds1528,CDS,NA,1401837,1402124,-,NA
864,cds1529,CDS,NA,1402140,1403405,+,NA
865,cds1530,CDS,NA,1403386,1404999,-,NA
865,cds1531,CDS,ROG1057,1404996,1407152,-,NA
865,cds1532,CDS,COG0345,1407207,1407434,-,[E] Pyrroline-5-carboxylate reductase    
866,cds1533,CDS,ROG1524,1407468,1408427,+,NA
867,cds1534,CDS,COG0345,1408574,1408747,-,[E] Pyrroline-5-carboxylate reductase    
868,cds1535,CDS,COG3385,1408922,1409977,+,[L] FOG: Transposase and inactivated derivatives 
869,cds1536,CDS,COG0345,1409992,1410489,-,[E] Pyrroline-5-carboxylate reductase    
870,cds1537,CDS,COG1801,1410574,1411236,-,[S] Uncharacterized conserved protein   
870,cds1538,CDS,COG0498,1411233,1412258,-,[E] Threonine synthase    
871,cds1539,CDS,COG1117,1412465,1413112,+,"[P] ABC-type phosphate transport system, ATPase component"
872,cds1540,CDS,COG4555,1413253,1413912,-,"[CP] ABC-type Na+ transport system, ATPase component"
872,cds1541,CDS,COG0609,1413890,1414876,-,"[P] ABC-type Fe3+-siderophore transport system, permease component"
872,cds1542,CDS,COG0614,1414877,1415833,-,"[P] ABC-type Fe3+-hydroxamate transport system, periplasmic component"
873,cds1543,CDS,COG0805,1415967,1416851,-,[U] Sec-independent protein secretion pathway component TatC
873,cds1544,CDS,COG1826,1416835,1417152,-,[U] Sec-independent protein secretion pathway components 
873,cds1545,CDS,COG1826,1417189,1417527,-,[U] Sec-independent protein secretion pathway components 
873,cds1546,CDS,COG0637,1417550,1418182,-,[R] Predicted phosphatase/phosphohexomutase    
874,cds1547,CDS,COG1243,1418259,1419680,+,[KB] Histone acetyltransferase    
875,cds1548,CDS,COG0500,1419664,1420212,-,[QR] SAM-dependent methyltransferases    
875,cds1549,CDS,COG0312,1420245,1421342,-,[R] Predicted Zn-dependent proteases and their inactivated
876,cds1550,CDS,COG1032,1421515,1423140,+,[C] Fe-S oxidoreductase    
877,cds1551,CDS,COG3372,1423127,1424584,-,[S] Uncharacterized conserved protein   
877,cds1552,CDS,COG1061,1424571,1425905,-,[KL] DNA or RNA helicases of superfamily
878,cds1553,CDS,COG1062,1425961,1427076,+,"[C] Zn-dependent alcohol dehydrogenases, class III "
879,cds1554,CDS,COG2034,1427073,1427354,-,[S] Predicted membrane protein   
880,cds1555,CDS,COG3276,1427405,1428310,+,[J] Selenocysteine-specific translation elongation factor  
880,cds1556,CDS,NA,1428326,1428595,+,NA
881,cds1557,CDS,COG0433,1428590,1430338,-,[R] Predicted ATPase    
881,cds1558,CDS,ROG6205,1430319,1431077,-,NA
882,cds1559,CDS,COG1992,1431013,1431957,+,[S] Uncharacterized conserved protein   
883,cds1560,CDS,COG2409,1431929,1434442,-,[R] Predicted drug exporters of the RND
884,cds1561,CDS,ROG6129,1434648,1435271,+,NA
884,cds1562,CDS,COG1994,1435274,1435876,+,[R] Zn-dependent proteases    
884,cds1563,CDS,COG0705,1435816,1436460,+,[R] Uncharacterized membrane protein (homolog of Drosophila
885,cds1564,CDS,COG1936,1436624,1437187,+,[F] Predicted nucleotide kinase (related to CMP
885,cds1565,CDS,COG0489,1437188,1438078,+,[D] ATPases involved in chromosome partitioning 
886,cds1566,CDS,ROG4827,1438072,1438290,-,NA
887,cds1567,CDS,COG3355,1438389,1438739,+,[K] Predicted transcriptional regulator   
888,cds1568,CDS,COG0212,1438710,1439435,-,[H] 5-formyltetrahydrofolate cyclo-ligase    
888,cds1569,CDS,COG4330,1439425,1439985,-,[S] Predicted membrane protein   
888,cds1570,CDS,COG1801,1439994,1440716,-,[S] Uncharacterized conserved protein   
889,cds1571,CDS,ROG3692,1440772,1441224,+,NA
890,cds1572,CDS,COG0180,1441193,1442353,-,[J] Tryptophanyl-tRNA synthetase    
890,cds1573,CDS,COG5491,1442392,1443153,-,[N] Conserved protein implicated in secretion 
891,cds1574,CDS,COG3391,1443107,1443379,+,[S] Uncharacterized conserved protein   
891,cds1575,CDS,COG2872,1443380,1444090,+,[R] Predicted metal-dependent hydrolases related to alanyl-tRNA
891,cds1576,CDS,COG2246,1444129,1444566,+,[S] Predicted membrane protein   
892,cds1577,CDS,COG0079,1444546,1445544,-,[E] Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
892,cds1578,CDS,COG3413,1445541,1446125,-,[R] Predicted DNA binding protein  
893,rna23,tRNA,NA,1446296,1446371,-,NA
893,rna24,tRNA,NA,1446625,1446697,-,NA
894,tfb,CDS,COG1405,1446858,1447787,+,"[K] Transcription initiation factor TFIIIB, Brf1 subunit/Transcription"
895,cds1580,CDS,COG0023,1447777,1448079,-,[J] Translation initiation factor 1 (eIF-1/SUI1) and
896,cds1581,CDS,COG1996,1448175,1448321,+,"[K] DNA-directed RNA polymerase, subunit RPC10 (contains"
897,speB,CDS,COG0010,1448308,1449201,-,"[E] Arginase/agmatinase/formimionoglutamate hydrolase, arginase family  "
898,glyS,CDS,COG0423,1449254,1450978,+,[J] Glycyl-tRNA synthetase (class II)  
898,cds1584,CDS,ROG1333,1450962,1451327,+,NA
898,cds1585,CDS,ROG7493,1451324,1451728,+,NA
898,cds1586,CDS,ROG2748,1451754,1452395,+,NA
898,endA,CDS,COG1676,1452396,1452944,+,[J] tRNA splicing endonuclease   
898,cds1588,CDS,ROG1246,1452985,1453374,+,NA
899,cds1589,CDS,COG0163,1453415,1454032,-,[H] 3-polyprenyl-4-hydroxybenzoate decarboxylase    
899,cds1590,CDS,ROG3544,1453963,1454172,-,NA
900,cds1591,CDS,COG1635,1454262,1455065,+,[H] Flavoprotein involved in thiazole biosynthesis 
901,cds1592,CDS,COG2004,1455132,1455494,+,[J] Ribosomal protein S24E   
901,cds1593,CDS,COG1998,1455472,1455663,+,[J] Ribosomal protein S27AE   
901,cds1594,CDS,COG0533,1455667,1456662,+,[O] Metal-dependent proteases with possible chaperone activity
901,cds1595,CDS,COG3642,1456623,1457321,+,[T] Mn2+-dependent serine/threonine protein kinase  
901,rdgB,CDS,COG0127,1457281,1457859,+,[F] Xanthosine triphosphate pyrophosphatase   
902,cds1597,CDS,COG0667,1457882,1458862,-,[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
903,cds1598,CDS,ROG3937,1458911,1459246,+,NA
904,cds1599,CDS,ROG5928,1459229,1460209,-,NA
904,cds1600,CDS,ROG6237,1460206,1460538,-,NA
904,cds1601,CDS,COG2519,1460563,1461384,-,[J] tRNA(1-methyladenosine) methyltransferase and related methyltransferases 
904,cds1602,CDS,COG3609,1461434,1461586,-,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
904,cds1603,CDS,COG1378,1461630,1462361,-,[K] Predicted transcriptional regulators   
905,cds1604,CDS,COG4901,1462410,1462742,+,[J] Ribosomal protein S25   
906,cds1605,CDS,COG0388,1462746,1463615,-,[R] Predicted amidohydrolase    
906,rgy_2,CDS,COG1110,1463633,1467352,-,[L] Reverse gyrase    
907,cds1607,CDS,COG0464,1467376,1469655,+,[O] ATPases of the AAA+ class 
907,cds1608,CDS,COG3635,1469652,1470896,+,"[G] Predicted phosphoglycerate mutase, AP superfamily "
908,cds1609,CDS,COG1909,1470981,1471520,-,[S] Uncharacterized protein conserved in archaea 
908,cds1610,CDS,COG2093,1471493,1471693,-,"[K] DNA-directed RNA polymerase, subunit E'' "
908,cds1611,CDS,COG1095,1471700,1472242,-,"[K] DNA-directed RNA polymerase, subunit E' "
908,cds1612,CDS,COG1412,1472246,1472668,-,[R] Uncharacterized proteins of PilT N-term./Vapc superfamily
908,cds1613,CDS,COG5257,1472647,1473894,-,"[J] Translation initiation factor 2, gamma subunit"
908,cds1614,CDS,COG2125,1473903,1474547,-,[J] Ribosomal protein S6E (S10)  
909,cds1615,CDS,COG2138,1474625,1475011,+,[S] Uncharacterized conserved protein   
910,cds1616,CDS,COG0184,1475008,1475466,-,[J] Ribosomal protein S15P/S13E   
910,cds1617,CDS,COG0620,1475490,1476488,-,[E] Methionine synthase II (cobalamin-independent)  
910,cds1618,CDS,COG0620,1476481,1477467,-,[E] Methionine synthase II (cobalamin-independent)  
910,pcn,CDS,NA,1477470,1478249,-,NA
911,cds1620,CDS,COG1797,1478312,1479616,+,"[H] Cobyrinic acid a,c-diamide synthase  "
912,cds1621,CDS,COG4920,1479588,1480346,-,[S] Predicted membrane protein   
913,cds1622,CDS,COG0108,1480475,1481134,+,"[H] 3,4-dihydroxy-2-butanone 4-phosphate synthase   "
913,cds1623,CDS,COG1731,1481131,1481598,+,[H] Archaeal riboflavin synthase   
913,cds1624,CDS,COG0054,1481579,1482043,+,[H] Riboflavin synthase beta-chain   
913,cds1625,CDS,COG2429,1482040,1482732,+,[S] Uncharacterized conserved protein   
913,cds1626,CDS,COG0402,1482711,1483850,+,[FR] Cytosine deaminase and related metal-dependent hydrolases
914,cds1627,CDS,NA,1483817,1484566,-,NA
914,cds1628,CDS,NA,1484571,1484885,-,NA
914,cds1629,CDS,COG0433,1484886,1486604,-,[R] Predicted ATPase    
915,cds1630,CDS,COG1201,1486644,1489382,+,[R] Lhr-like helicases    
915,cds1631,CDS,COG2163,1489424,1489714,+,[J] Ribosomal protein L14E/L6E/L27E   
915,cds1632,CDS,COG0130,1489720,1490019,+,[J] Pseudouridine synthase    
915,cds1633,CDS,COG0130,1490043,1490762,+,[J] Pseudouridine synthase    
915,cds1634,CDS,COG2813,1490752,1491312,+,[J] 16S RNA G1207 methylase RsmC 
915,rna25,tRNA,NA,1491337,1491421,+,NA
916,cds1635,CDS,COG1444,1491473,1493653,-,[R] Predicted P-loop ATPase fused to an
916,rna26,tRNA,NA,1493671,1493746,-,NA
917,cds1636,CDS,ROG6046,1493860,1495053,-,NA
917,cds1637,CDS,NA,1495096,1498785,-,NA
918,cds1638,CDS,ROG8158,1499040,1499198,+,NA
919,rna27,tRNA,NA,1499217,1499290,-,NA
920,cds1639,CDS,COG0438,1499347,1500579,+,[M] Glycosyltransferase     
921,rna28,tRNA,NA,1500698,1500773,-,NA
922,cds1640,CDS,COG1709,1500810,1501535,+,[K] Predicted transcriptional regulator   
923,cds1641,CDS,COG1308,1501501,1501851,-,[K] Transcription factor homologous to NACalpha-BTF3 
924,cds1642,CDS,COG1236,1501910,1503178,+,[J] Predicted exonuclease of the beta-lactamase fold
924,cds1643,CDS,COG0441,1503201,1504361,+,[J] Threonyl-tRNA synthetase    
925,mvk,CDS,COG1577,1504559,1505503,+,[I] Mevalonate kinase    
925,glmS_2,CDS,COG0449,1505544,1507319,+,"[M] Glucosamine 6-phosphate synthetase, contains amidotransferase and"
925,cds1646,CDS,COG1208,1507322,1508404,+,[MJ] Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation
926,cds1647,CDS,ROG8152,1508436,1509959,-,NA
927,cds1648,CDS,COG2423,1510111,1511040,+,"[E] Predicted ornithine cyclodeaminase, mu-crystallin homolog "
928,cds1649,CDS,COG2096,1511024,1511542,-,[S] Uncharacterized conserved protein   
928,cds1650,CDS,COG1125,1511555,1513072,-,"[E] ABC-type proline/glycine betaine transport systems, ATPase"
929,cds1651,CDS,COG0582,1513142,1514017,+,[L] Integrase     
930,cds1652,CDS,COG0535,1513988,1514956,-,[R] Predicted Fe-S oxidoreductases   
930,cds1653,CDS,COG0663,1514953,1515462,-,"[R] Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily "
930,cds1654,CDS,COG0144,1515474,1516493,-,[J] tRNA and rRNA cytosine-C5-methylases  
930,cds1655,CDS,COG1907,1516502,1517380,-,[R] Predicted archaeal sugar kinases  
931,cds1656,CDS,COG0318,1517399,1518781,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
931,trxA_2,CDS,COG0526,1518768,1519169,+,[OC] Thiol-disulfide isomerase and thioredoxins  
931,cds1658,CDS,COG4555,1519166,1519774,+,"[CP] ABC-type Na+ transport system, ATPase component"
932,glnA,CDS,COG0174,1519897,1521312,+,[E] Glutamine synthetase    
933,cds1660,CDS,COG3888,1521309,1522208,-,[K] Predicted transcriptional regulator   
933,cds1661,CDS,COG0302,1522234,1522860,-,[H] GTP cyclohydrolase I   
934,cds1662,CDS,COG0006,1522914,1523972,-,[E] Xaa-Pro aminopeptidase    
934,cds1663,CDS,COG2896,1523969,1524895,-,[H] Molybdenum cofactor biosynthesis enzyme  
935,cds1664,CDS,ROG8448,1524934,1525122,+,NA
936,cds1665,CDS,ROG3683,1525102,1525758,-,NA
937,cds1666,CDS,COG0031,1525926,1526819,-,[E] Cysteine synthase    
937,cds1667,CDS,COG0425,1526861,1527091,-,"[O] Predicted redox protein, regulator of disulfide"
937,cds1668,CDS,COG2044,1527088,1527489,-,[R] Predicted peroxiredoxins    
938,cds1669,CDS,COG2848,1527533,1528528,+,[S] Uncharacterized conserved protein   
938,cds1670,CDS,COG2336,1528590,1529645,+,[T] Growth regulator    
939,cds1671,CDS,COG1488,1529642,1530805,-,[H] Nicotinic acid phosphoribosyltransferase   
940,cds1672,CDS,COG2238,1530876,1531340,+,[J] Ribosomal protein S19E (S16A)  
940,cds1673,CDS,COG2118,1531353,1531709,+,[R] DNA-binding protein    
940,cds1674,CDS,COG2167,1531706,1531861,+,[J] Ribosomal protein L39E   
940,cds1675,CDS,COG2097,1531865,1532131,+,[J] Ribosomal protein L31E   
940,cds1676,CDS,COG1976,1532128,1532799,+,[J] Translation initiation factor 6 (eIF-6) 
940,cds1677,CDS,COG2157,1532801,1533061,+,[J] Ribosomal protein L20A (L18A)  
940,cds1678,CDS,COG1730,1533068,1533511,+,"[O] Predicted prefoldin, molecular chaperone implicated in"
940,cds1679,CDS,COG0552,1533508,1534584,+,[U] Signal recognition particle GTPase  
940,cds1680,CDS,ROG7369,1534616,1534804,+,NA
940,cds1681,CDS,COG0250,1534809,1535267,+,[K] Transcription antiterminator    
940,cds1682,CDS,COG0080,1535273,1535785,+,[J] Ribosomal protein L11   
940,cds1683,CDS,COG0081,1535787,1536443,+,[J] Ribosomal protein L1   
940,cds1684,CDS,COG0244,1536440,1537456,+,[J] Ribosomal protein L10   
